model,lower,rating,upper,error_y,error_y_minus,rating_rounded,ROC-AUC,Loss,Avg. Error,Average Precision,Pearson R,Spearman R,R^2,MSE,MAE
Llama3.1-8B-Frags-Bio,979.8366121961386,982.0290090817957,984.2356039515925,2.2065948697967315,2.1923968856571037,982.03,85.32167062369798,0.34344939997234225,0.4789118643919565,72.11730944837068,0.6468734086326907,0.6508292917207116,0.39911227548395434,1.0794654205381753,0.7529733326874911
Llama3.1-8B-Bio,978.3288633212396,981.5528392289858,982.2983878690538,0.7455486400680229,3.223975907746194,981.55,85.4309068065411,0.343800451215028,0.47628350517800516,72.15474630885433,0.6492710480400231,0.65365419532176,0.4033696187194162,1.0635674305052245,0.7475501450493552
MistralNeMo-12B-Quant,979.5816009336821,981.3053031893828,984.3607255177897,3.0554223284068485,1.7237022557006867,981.31,85.40401696303648,0.3429222605037795,0.4776938011662146,72.09230411333255,0.6491832201071434,0.653709870630385,0.4026653316318113,1.0680988925861372,0.7506495593089068
Llama3.1-8B-Frags-Quant,977.204902838739,980.2392004327551,983.1429869996388,2.9037865668836957,3.0342975940160386,980.24,85.31104348047026,0.34453842867859547,0.4788778319104146,72.09052871153126,0.6482106669324976,0.6518052119488992,0.40084452789785696,1.0743668376731321,0.7518710368070566
MolT5_LPM24,976.4231468072743,980.1005758935642,981.4918474148941,1.3912715213299407,3.6774290862898624,980.1,85.38485839522353,0.3431102154716585,0.4766798136223727,72.14035781026602,0.6485753415952468,0.6529821868755988,0.4022102590352192,1.0706502738324617,0.7502957165997085
Llama3.1-8B-Frags-Chem,975.4524722407176,977.816210867491,979.1456586550288,1.329447787537788,2.3637386267733973,977.82,85.34047162520662,0.3436905923229442,0.47810664964020255,72.13164752280919,0.647345150524792,0.6518230854278053,0.40008572855873925,1.0775272627943977,0.7523552212367153
BlankCaption,975.5375350618299,977.7930249653393,981.1361912288528,3.343166263513467,2.2554899035094422,977.79,85.33598813377513,0.3443722576769131,0.4782428271013395,72.12680537279188,0.6469227746633902,0.6511467413117568,0.39914866307869423,1.0789485505688132,0.7529240613577352
Gemma2-27B-Frags-Quant,976.0668519455321,977.5559278328124,980.0936196712581,2.5376918384457667,1.4890758872802508,977.56,85.42327842641735,0.34216733509259495,0.4779183340379868,72.16881007147856,0.6469511128729994,0.6513824417007161,0.39930913867325113,1.0766776496926012,0.7523398978352827
Llama3.1-8B-Frags-Generic,972.4546319858376,976.6907175278275,981.3152428507985,4.624525322971067,4.236085541989837,976.69,85.32573905944147,0.34556569678526267,0.47809049590137875,72.1010673889595,0.6483159292279109,0.6530553063529941,0.40093359040800514,1.074263736534227,0.7511492462475893
MistralNeMo-12B-Drug,972.7749177559687,974.622471931188,979.9603160929887,5.337844161800717,1.8475541752193294,974.62,85.32304927829607,0.3452459100587329,0.47731727681268554,72.09678129194003,0.6497078278658431,0.654482569532742,0.4019048826686163,1.0701844224801784,0.7496104461217054
Gemma2-27B-Frags-Bio,971.4415921246677,973.346936518519,975.5059835928155,2.1590470742964953,1.9053443938512373,973.35,85.43086942528343,0.3429942370141791,0.4782699056348884,72.27433351966546,0.6468274834715987,0.6514041650997524,0.3990993260843774,1.0790855107981518,0.7530059194512648
Gemma2-27B-Frags-Generic,969.6709182431151,972.723675125571,973.9906767734107,1.2670016478396064,3.052756882455924,972.72,85.36171812864163,0.3420592550549751,0.47822541812374375,72.03243196673287,0.6471707615203297,0.6517329140918611,0.3994594600941277,1.078437555706332,0.752744406730389
Llama3.1-8B-Frags-Drug,969.2497892097458,970.2947643986593,972.7825079256357,2.4877435269764874,1.0449751889134404,970.29,85.35327124939465,0.34493812417285746,0.47883691998680156,72.12169045689319,0.6470722726069841,0.6511751303624038,0.3993010336798722,1.078544621287288,0.7529076319089961
GNN,,,,,,,85.3355746643789,0.34489795823400093,0.4788079687318517,72.11062236001315,0.6472735448197778,0.6515203707990204,0.39738630679101095,1.0799990623590707,0.753428939901896
